file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-H.hepmc3.gz,64.97,16,39.762910000000005,Julia,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,22.78917,Julia,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,42.534580000000005,Julia,EEKt,Best,2.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.875,Julia,EEKt,Best,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,40.383340000000004,Julia,EEKt,Best,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,14.34,FastJet,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,28.44,FastJet,EEKt,Best,2.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,14.56,FastJet,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,29.45,FastJet,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,18.5575,Julia,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,34.87708,Julia,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,18.98,FastJet,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,32.2,FastJet,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,14.66,FastJet,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,28.98,FastJet,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,18.78,FastJet,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,32.03,FastJet,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,22.169169999999998,Julia,EEKt,Best,2.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,41.02541,Julia,EEKt,Best,2.0,-1.0
