file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1033.36,FastJet,CA,N2Plain,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1481.64,FastJet,CA,N2Plain,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1662.81,FastJet,CA,N2Plain,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,2095.17,FastJet,CA,N2Plain,1.5
events-ee-Z.hepmc3.gz,43.05,16,35.01,FastJet,AntiKt,N2Plain,0.2
events-ee-H.hepmc3.gz,64.97,16,58.35,FastJet,AntiKt,N2Plain,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,583.5,FastJet,AntiKt,N2Plain,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,1352.32,FastJet,AntiKt,N2Plain,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,2240.49,FastJet,AntiKt,N2Plain,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,2697.03,FastJet,AntiKt,N2Plain,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,2697.9,FastJet,AntiKt,N2Plain,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,5639.25,FastJet,AntiKt,N2Plain,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,9165.58,FastJet,AntiKt,N2Plain,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,14135.1,FastJet,AntiKt,N2Plain,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,22932.1,FastJet,AntiKt,N2Plain,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,23472.0,FastJet,AntiKt,N2Plain,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,32568.4,FastJet,AntiKt,N2Plain,0.2
events-ee-Z.hepmc3.gz,43.05,16,25.42837,Julia,AntiKt,N2Plain,2.0
events-ee-H.hepmc3.gz,64.97,16,41.90131,Julia,AntiKt,N2Plain,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,82.15063,Julia,AntiKt,N2Plain,2.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,136.73822,Julia,AntiKt,N2Plain,2.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,181.34418000000002,Julia,AntiKt,N2Plain,2.0
events-pp-1TeV.hepmc3.gz,226.98,16,234.29361,Julia,AntiKt,N2Plain,2.0
events-pp-2TeV.hepmc3.gz,226.98,16,233.54942,Julia,AntiKt,N2Plain,2.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,347.49841,Julia,AntiKt,N2Plain,2.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,511.42709,Julia,AntiKt,N2Plain,2.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,727.11477,Julia,AntiKt,N2Plain,2.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1003.2492900000001,Julia,AntiKt,N2Plain,2.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1130.45702,Julia,AntiKt,N2Plain,2.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1375.20886,Julia,AntiKt,N2Plain,2.0
events-ee-Z.hepmc3.gz,43.05,16,33.70781,Julia,CA,N2Tiled,1.5
events-ee-H.hepmc3.gz,64.97,16,53.97144,Julia,CA,N2Tiled,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,93.29013,Julia,CA,N2Tiled,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,141.92922000000002,Julia,CA,N2Tiled,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,173.90349999999998,Julia,CA,N2Tiled,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,223.73981,Julia,CA,N2Tiled,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,222.75547999999998,Julia,CA,N2Tiled,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,294.94773000000004,Julia,CA,N2Tiled,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,408.20061999999996,Julia,CA,N2Tiled,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,556.61194,Julia,CA,N2Tiled,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,792.10009,Julia,CA,N2Tiled,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,878.61788,Julia,CA,N2Tiled,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,925.8636600000001,Julia,CA,N2Tiled,1.5
events-ee-Z.hepmc3.gz,43.05,16,20.49,FastJet,Kt,N2Plain,2.0
events-ee-H.hepmc3.gz,64.97,16,36.22,FastJet,Kt,N2Plain,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,95.14,FastJet,Kt,N2Plain,2.0
