file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-H.hepmc3.gz,64.97,16,34.56,FastJet,EEKt,Best,4.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,25.917460000000002,Julia,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,46.64541,Julia,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.65,FastJet,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,32.99,FastJet,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,19.80703,Julia,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,36.75953,Julia,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,15.780710000000001,Julia,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,30.457449999999998,Julia,EEKt,Best,0.2,0.0
events-ee-Z.hepmc3.gz,43.05,16,25.73842,Julia,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,46.13045,Julia,EEKt,Best,2.0,1.0
