file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,559.12949,Julia,AntiKt,N2Plain,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,854.37776,Julia,AntiKt,N2Plain,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1218.40283,Julia,AntiKt,N2Plain,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1802.3350400000002,Julia,AntiKt,N2Plain,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1993.0545000000002,Julia,AntiKt,N2Plain,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,2491.46977,Julia,AntiKt,N2Plain,1.5
events-ee-Z.hepmc3.gz,43.05,16,25.19206,Julia,AntiKt,N2Tiled,0.4
events-ee-H.hepmc3.gz,64.97,16,43.362539999999996,Julia,AntiKt,N2Tiled,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,49.09975,Julia,AntiKt,N2Tiled,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,76.90679,Julia,AntiKt,N2Tiled,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,94.36067999999999,Julia,AntiKt,N2Tiled,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,127.07879000000001,Julia,AntiKt,N2Tiled,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,126.2369,Julia,AntiKt,N2Tiled,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,164.07338,Julia,AntiKt,N2Tiled,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,226.54127,Julia,AntiKt,N2Tiled,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,289.68559,Julia,AntiKt,N2Tiled,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,377.22341,Julia,AntiKt,N2Tiled,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,450.54033000000004,Julia,AntiKt,N2Tiled,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,530.64649,Julia,AntiKt,N2Tiled,0.4
events-ee-Z.hepmc3.gz,43.05,16,34.08166,Julia,CA,N2Tiled,1.5
events-ee-H.hepmc3.gz,64.97,16,56.928270000000005,Julia,CA,N2Tiled,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,101.24327,Julia,CA,N2Tiled,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,158.03425000000001,Julia,CA,N2Tiled,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,197.69243000000003,Julia,CA,N2Tiled,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,258.53922,Julia,CA,N2Tiled,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,256.25168,Julia,CA,N2Tiled,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,340.36343999999997,Julia,CA,N2Tiled,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,473.35953,Julia,CA,N2Tiled,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,638.58753,Julia,CA,N2Tiled,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,859.77399,Julia,CA,N2Tiled,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,978.25746,Julia,CA,N2Tiled,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1161.16622,Julia,CA,N2Tiled,1.5
events-ee-Z.hepmc3.gz,43.05,16,29.59,FastJet,Kt,N2Plain,1.5
events-ee-H.hepmc3.gz,64.97,16,53.66,FastJet,Kt,N2Plain,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,138.12,FastJet,Kt,N2Plain,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,252.12,FastJet,Kt,N2Plain,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,356.75,FastJet,Kt,N2Plain,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,470.18,FastJet,Kt,N2Plain,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,469.48,FastJet,Kt,N2Plain,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,732.67,FastJet,Kt,N2Plain,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1126.95,FastJet,Kt,N2Plain,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1601.75,FastJet,Kt,N2Plain,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,2310.96,FastJet,Kt,N2Plain,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,2622.54,FastJet,Kt,N2Plain,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,3305.09,FastJet,Kt,N2Plain,1.5
events-ee-Z.hepmc3.gz,43.05,16,36.74984,Julia,AntiKt,N2Tiled,2.0
events-ee-H.hepmc3.gz,64.97,16,61.96134,Julia,AntiKt,N2Tiled,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,113.40790000000001,Julia,AntiKt,N2Tiled,2.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,179.80117,Julia,AntiKt,N2Tiled,2.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,227.09247,Julia,AntiKt,N2Tiled,2.0
events-pp-1TeV.hepmc3.gz,226.98,16,297.92033,Julia,AntiKt,N2Tiled,2.0
events-pp-2TeV.hepmc3.gz,226.98,16,297.09098,Julia,AntiKt,N2Tiled,2.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,397.77326999999997,Julia,AntiKt,N2Tiled,2.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,566.19528,Julia,AntiKt,N2Tiled,2.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,770.55329,Julia,AntiKt,N2Tiled,2.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1042.11354,Julia,AntiKt,N2Tiled,2.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1199.17648,Julia,AntiKt,N2Tiled,2.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1432.0838700000002,Julia,AntiKt,N2Tiled,2.0
events-ee-Z.hepmc3.gz,43.05,16,24.65457,Julia,Kt,N2Tiled,0.4
events-ee-H.hepmc3.gz,64.97,16,42.60753,Julia,Kt,N2Tiled,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,47.885250000000006,Julia,Kt,N2Tiled,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,75.33055,Julia,Kt,N2Tiled,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,93.0103,Julia,Kt,N2Tiled,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,127.92390999999999,Julia,Kt,N2Tiled,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,127.51964,Julia,Kt,N2Tiled,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,162.66979,Julia,Kt,N2Tiled,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,226.07495,Julia,Kt,N2Tiled,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,292.01943,Julia,Kt,N2Tiled,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,387.4286,Julia,Kt,N2Tiled,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,451.99418,Julia,Kt,N2Tiled,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,543.18229,Julia,Kt,N2Tiled,0.4
events-ee-Z.hepmc3.gz,43.05,16,33.78,FastJet,AntiKt,N2Tiled,0.2
events-ee-H.hepmc3.gz,64.97,16,46.88,FastJet,AntiKt,N2Tiled,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,84.01,FastJet,AntiKt,N2Tiled,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,111.2,FastJet,AntiKt,N2Tiled,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,133.07,FastJet,AntiKt,N2Tiled,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,153.42,FastJet,AntiKt,N2Tiled,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,153.84,FastJet,AntiKt,N2Tiled,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,196.44,FastJet,AntiKt,N2Tiled,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,254.17,FastJet,AntiKt,N2Tiled,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,318.74,FastJet,AntiKt,N2Tiled,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,405.64,FastJet,AntiKt,N2Tiled,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,446.62,FastJet,AntiKt,N2Tiled,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,529.74,FastJet,AntiKt,N2Tiled,0.2
events-ee-Z.hepmc3.gz,43.05,16,34.79,FastJet,CA,N2Plain,0.4
events-ee-H.hepmc3.gz,64.97,16,62.8,FastJet,CA,N2Plain,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,475.57,FastJet,CA,N2Plain,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,964.97,FastJet,CA,N2Plain,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,1416.05,FastJet,CA,N2Plain,0.4
