file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-200.hepmc3.gz,55.9,16,18.8056,Julia,EEKt,Best,0.4,-1.0
events-ee-230.hepmc3.gz,60.82,16,20.26854,Julia,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,22.53357,Julia,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.68,FastJet,EEKt,Best,0.2,1.0
events-ee-120.hepmc3.gz,47.08,16,22.51,FastJet,EEKt,Best,0.2,1.0
events-ee-150.hepmc3.gz,51.57,16,24.84,FastJet,EEKt,Best,0.2,1.0
events-ee-200.hepmc3.gz,55.9,16,25.78,FastJet,EEKt,Best,0.2,1.0
events-ee-230.hepmc3.gz,60.82,16,27.25,FastJet,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,29.59,FastJet,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.685720000000002,Julia,EEKt,Best,1.0,1.0
events-ee-120.hepmc3.gz,47.08,16,18.36618,Julia,EEKt,Best,1.0,1.0
events-ee-150.hepmc3.gz,51.57,16,18.49723,Julia,EEKt,Best,1.0,1.0
events-ee-200.hepmc3.gz,55.9,16,21.647710000000004,Julia,EEKt,Best,1.0,1.0
events-ee-230.hepmc3.gz,60.82,16,23.200309999999998,Julia,EEKt,Best,1.0,1.0
events-ee-H.hepmc3.gz,64.97,16,26.37393,Julia,EEKt,Best,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.96053,Julia,EEKt,Best,1.5,-1.0
events-ee-120.hepmc3.gz,47.08,16,16.83202,Julia,EEKt,Best,1.5,-1.0
events-ee-150.hepmc3.gz,51.57,16,18.565260000000002,Julia,EEKt,Best,1.5,-1.0
events-ee-200.hepmc3.gz,55.9,16,22.027919999999998,Julia,EEKt,Best,1.5,-1.0
events-ee-230.hepmc3.gz,60.82,16,23.71246,Julia,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,27.114410000000003,Julia,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,21.26,FastJet,EEKt,Best,4.0,0.0
events-ee-120.hepmc3.gz,47.08,16,24.34,FastJet,EEKt,Best,4.0,0.0
events-ee-150.hepmc3.gz,51.57,16,27.45,FastJet,EEKt,Best,4.0,0.0
events-ee-200.hepmc3.gz,55.9,16,31.0,FastJet,EEKt,Best,4.0,0.0
events-ee-230.hepmc3.gz,60.82,16,34.82,FastJet,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,38.52,FastJet,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,10.35574,Julia,EEKt,Best,0.2,1.0
events-ee-120.hepmc3.gz,47.08,16,12.5379,Julia,EEKt,Best,0.2,1.0
events-ee-150.hepmc3.gz,51.57,16,14.01336,Julia,EEKt,Best,0.2,1.0
events-ee-200.hepmc3.gz,55.9,16,16.20785,Julia,EEKt,Best,0.2,1.0
events-ee-230.hepmc3.gz,60.82,16,17.70936,Julia,EEKt,Best,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,19.31184,Julia,EEKt,Best,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.61,FastJet,EEKt,Best,2.0,0.0
events-ee-120.hepmc3.gz,47.08,16,24.83,FastJet,EEKt,Best,2.0,0.0
events-ee-150.hepmc3.gz,51.57,16,27.91,FastJet,EEKt,Best,2.0,0.0
events-ee-200.hepmc3.gz,55.9,16,31.36,FastJet,EEKt,Best,2.0,0.0
events-ee-230.hepmc3.gz,60.82,16,35.27,FastJet,EEKt,Best,2.0,0.0
events-ee-H.hepmc3.gz,64.97,16,38.79,FastJet,EEKt,Best,2.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,12.52027,Julia,EEKt,Best,0.4,1.0
events-ee-120.hepmc3.gz,47.08,16,14.6744,Julia,EEKt,Best,0.4,1.0
events-ee-150.hepmc3.gz,51.57,16,16.37937,Julia,EEKt,Best,0.4,1.0
events-ee-200.hepmc3.gz,55.9,16,18.853089999999998,Julia,EEKt,Best,0.4,1.0
events-ee-230.hepmc3.gz,60.82,16,20.84682,Julia,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,22.99522,Julia,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,20.37,FastJet,Durham,Best,4.0,1.0
events-ee-120.hepmc3.gz,47.08,16,23.25,FastJet,Durham,Best,4.0,1.0
events-ee-150.hepmc3.gz,51.57,16,26.14,FastJet,Durham,Best,4.0,1.0
events-ee-200.hepmc3.gz,55.9,16,29.54,FastJet,Durham,Best,4.0,1.0
events-ee-230.hepmc3.gz,60.82,16,33.15,FastJet,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,36.66,FastJet,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,18.39,FastJet,EEKt,Best,0.4,-1.0
events-ee-120.hepmc3.gz,47.08,16,19.48,FastJet,EEKt,Best,0.4,-1.0
events-ee-150.hepmc3.gz,51.57,16,21.47,FastJet,EEKt,Best,0.4,-1.0
events-ee-200.hepmc3.gz,55.9,16,23.7,FastJet,EEKt,Best,0.4,-1.0
events-ee-230.hepmc3.gz,60.82,16,25.6,FastJet,EEKt,Best,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,27.74,FastJet,EEKt,Best,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,15.1604,Julia,EEKt,Best,1.5,1.0
events-ee-120.hepmc3.gz,47.08,16,17.353089999999998,Julia,EEKt,Best,1.5,1.0
events-ee-150.hepmc3.gz,51.57,16,19.12159,Julia,EEKt,Best,1.5,1.0
