file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-H.hepmc3.gz,64.97,16,25.26,FastJet,Kt,N2Plain,1.0,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,58.22,FastJet,Kt,N2Plain,1.0,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,104.12,FastJet,Kt,N2Plain,1.0,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,144.19,FastJet,Kt,N2Plain,1.0,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,188.37,FastJet,Kt,N2Plain,1.0,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,188.48,FastJet,Kt,N2Plain,1.0,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,289.43,FastJet,Kt,N2Plain,1.0,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,436.8,FastJet,Kt,N2Plain,1.0,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,615.57,FastJet,Kt,N2Plain,1.0,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,882.87,FastJet,Kt,N2Plain,1.0,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1000.66,FastJet,Kt,N2Plain,1.0,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1255.23,FastJet,Kt,N2Plain,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,17.68791,Julia,Kt,N2Plain,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,32.19541,Julia,Kt,N2Plain,0.4,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,53.89667,Julia,Kt,N2Plain,0.4,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,107.29708000000001,Julia,Kt,N2Plain,0.4,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,151.77084000000002,Julia,Kt,N2Plain,0.4,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,207.44042000000002,Julia,Kt,N2Plain,0.4,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,208.02125,Julia,Kt,N2Plain,0.4,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,335.45459000000005,Julia,Kt,N2Plain,0.4,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,523.05833,Julia,Kt,N2Plain,0.4,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,757.89541,Julia,Kt,N2Plain,0.4,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1115.55708,Julia,Kt,N2Plain,0.4,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1269.87625,Julia,Kt,N2Plain,0.4,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1621.87709,Julia,Kt,N2Plain,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,22.07,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,37.19,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,73.85,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,119.79,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,154.89,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,199.48,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,198.76,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,281.31,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,407.04,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,539.22,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,737.27,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,829.29,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1006.61,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,14.47,FastJet,AntiKt,N2Plain,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,25.02,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,53.89,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,95.33,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,132.74,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,174.58,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,176.19,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,264.01,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,397.78,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,560.04,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,801.31,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,904.56,FastJet,AntiKt,N2Plain,1.5,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1131.55,FastJet,AntiKt,N2Plain,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.249160000000003,Julia,CA,N2Plain,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,38.61,Julia,CA,N2Plain,1.0,0.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,80.505,Julia,CA,N2Plain,1.0,0.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,150.2025,Julia,CA,N2Plain,1.0,0.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,202.28167000000002,Julia,CA,N2Plain,1.0,0.0
events-pp-1TeV.hepmc3.gz,226.98,16,268.19833,Julia,CA,N2Plain,1.0,0.0
events-pp-2TeV.hepmc3.gz,226.98,16,266.82292,Julia,CA,N2Plain,1.0,0.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,408.385,Julia,CA,N2Plain,1.0,0.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,631.2875,Julia,CA,N2Plain,1.0,0.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,903.96875,Julia,CA,N2Plain,1.0,0.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1288.02167,Julia,CA,N2Plain,1.0,0.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1461.385,Julia,CA,N2Plain,1.0,0.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1816.41667,Julia,CA,N2Plain,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,22.26417,Julia,CA,N2Plain,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,38.3825,Julia,CA,N2Plain,1.5,0.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,82.11958,Julia,CA,N2Plain,1.5,0.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,146.21167,Julia,CA,N2Plain,1.5,0.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,204.33417,Julia,CA,N2Plain,1.5,0.0
events-pp-1TeV.hepmc3.gz,226.98,16,270.25041,Julia,CA,N2Plain,1.5,0.0
events-pp-2TeV.hepmc3.gz,226.98,16,263.32958,Julia,CA,N2Plain,1.5,0.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,416.01125,Julia,CA,N2Plain,1.5,0.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,622.56625,Julia,CA,N2Plain,1.5,0.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,885.7166599999999,Julia,CA,N2Plain,1.5,0.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1263.88917,Julia,CA,N2Plain,1.5,0.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1442.11709,Julia,CA,N2Plain,1.5,0.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1796.00375,Julia,CA,N2Plain,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,15.08,FastJet,AntiKt,N2Plain,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,26.85,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,155.21,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,319.81,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,464.22,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,558.51,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,551.11,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,958.24,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1346.28,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1972.54,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,2736.23,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,2670.09,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,3473.62,FastJet,AntiKt,N2Plain,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,33.96833,Julia,Kt,N2Tiled,3.0,1.0
events-ee-H.hepmc3.gz,64.97,16,52.94625,Julia,Kt,N2Tiled,3.0,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,105.92917,Julia,Kt,N2Tiled,3.0,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,164.22417000000002,Julia,Kt,N2Tiled,3.0,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,204.65125,Julia,Kt,N2Tiled,3.0,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,268.85375,Julia,Kt,N2Tiled,3.0,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,262.64375,Julia,Kt,N2Tiled,3.0,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,354.14875,Julia,Kt,N2Tiled,3.0,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,489.09458,Julia,Kt,N2Tiled,3.0,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,635.92917,Julia,Kt,N2Tiled,3.0,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,830.65958,Julia,Kt,N2Tiled,3.0,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,937.7083299999999,Julia,Kt,N2Tiled,3.0,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1116.07917,Julia,Kt,N2Tiled,3.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,17.08,FastJet,Kt,N2Tiled,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,29.17,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,38.0,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,59.71,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,77.51,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,104.61,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,104.54,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,142.07,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,206.11,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,275.25,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,371.19,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,419.68,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,512.02,FastJet,Kt,N2Tiled,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,17.74209,Julia,Kt,N2Tiled,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,32.70625,Julia,Kt,N2Tiled,0.2,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,28.52375,Julia,Kt,N2Tiled,0.2,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,41.36334,Julia,Kt,N2Tiled,0.2,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,51.48917,Julia,Kt,N2Tiled,0.2,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,71.84792,Julia,Kt,N2Tiled,0.2,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,72.67125,Julia,Kt,N2Tiled,0.2,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,91.18834000000001,Julia,Kt,N2Tiled,0.2,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,145.04291,Julia,Kt,N2Tiled,0.2,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,170.82708,Julia,Kt,N2Tiled,0.2,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,217.87375,Julia,Kt,N2Tiled,0.2,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,262.96166,Julia,Kt,N2Tiled,0.2,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,301.115,Julia,Kt,N2Tiled,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.58,FastJet,CA,N2Plain,1.5,0.0
