file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-H.hepmc3.gz,64.97,16,35.58,FastJet,Kt,N2Plain,1.0,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,97.92,FastJet,Kt,N2Plain,1.0,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,174.45,FastJet,Kt,N2Plain,1.0,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,244.08,FastJet,Kt,N2Plain,1.0,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,312.87,FastJet,Kt,N2Plain,1.0,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,313.48,FastJet,Kt,N2Plain,1.0,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,481.68,FastJet,Kt,N2Plain,1.0,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,721.53,FastJet,Kt,N2Plain,1.0,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1011.02,FastJet,Kt,N2Plain,1.0,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1440.86,FastJet,Kt,N2Plain,1.0,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1616.58,FastJet,Kt,N2Plain,1.0,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,2031.39,FastJet,Kt,N2Plain,1.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,12.426639999999999,Julia,Kt,N2Plain,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,23.004720000000002,Julia,Kt,N2Plain,0.4,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,38.64659,Julia,Kt,N2Plain,0.4,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,71.84909,Julia,Kt,N2Plain,0.4,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,105.21309000000001,Julia,Kt,N2Plain,0.4,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,143.21365,Julia,Kt,N2Plain,0.4,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,141.83618,Julia,Kt,N2Plain,0.4,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,224.25383000000002,Julia,Kt,N2Plain,0.4,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,349.75326,Julia,Kt,N2Plain,0.4,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,502.30188000000004,Julia,Kt,N2Plain,0.4,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,732.4821000000001,Julia,Kt,N2Plain,0.4,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,834.64619,Julia,Kt,N2Plain,0.4,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1058.25482,Julia,Kt,N2Plain,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,24.07,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,39.41,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,82.94,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,132.83,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,171.13,FastJet,AntiKt,N2Tiled,3.0,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,218.68,FastJet,AntiKt,N2Tiled,3.0,-1.0
