threads,time_per_event,event_rate
1,177.00719375,5649.487903934412
2,93.52304875,10692.551337511868
3,63.55568625,15734.233378685296
4,49.06230125,20382.248172674128
5,41.30994,24207.24890910033
6,48.262295,20720.108730842574
7,45.84158875,21814.252674652336
8,40.212016250000005,24868.188498257656
9,45.404836249999995,22024.08559506698
10,36.057558750000005,27733.43605798049
11,38.246595,26146.118366876843
12,32.6587625,30619.653760610185
13,33.39144375,29947.791640485746
14,33.112335,30200.22598829107
15,32.41840125,30846.67847400402
16,32.446015,30820.425867398506
