file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-H.hepmc3.gz,64.97,16,77.57132,Julia,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,45.2301,Julia,EEKt,Best,4.0,0.0
events-ee-H.hepmc3.gz,64.97,16,80.07599,Julia,EEKt,Best,4.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,46.16424,Julia,EEKt,Best,4.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,80.49473,Julia,EEKt,Best,4.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,30.55,FastJet,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,55.35,FastJet,EEKt,Best,2.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,29.75,FastJet,EEKt,Best,4.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,53.16,FastJet,EEKt,Best,4.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,43.9442,Julia,Durham,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,77.09344,Julia,Durham,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,31.33,FastJet,EEKt,Best,1.5,-1.0
events-ee-H.hepmc3.gz,64.97,16,51.58,FastJet,EEKt,Best,1.5,-1.0
events-ee-Z.hepmc3.gz,43.05,16,34.43614,Julia,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,63.3237,Julia,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,28.410239999999998,Julia,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,53.43287,Julia,EEKt,Best,0.2,0.0
events-ee-Z.hepmc3.gz,43.05,16,44.985699999999994,Julia,EEKt,Best,2.0,1.0
events-ee-H.hepmc3.gz,64.97,16,77.77908000000001,Julia,EEKt,Best,2.0,1.0
