File,mean_particles
events-ee-Z.hepmc3.gz,43.05
events-ee-120.hepmc3.gz,47.08
events-ee-150.hepmc3.gz,51.57
events-ee-200.hepmc3.gz,55.9
events-ee-230.hepmc3.gz,60.82
events-ee-H.hepmc3.gz,64.97
