file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,189.41,FastJet,Kt,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,264.42,FastJet,Kt,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,348.6,FastJet,Kt,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,463.53,FastJet,Kt,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,520.62,FastJet,Kt,N2Tiled,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,627.45,FastJet,Kt,N2Tiled,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.34,FastJet,Kt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,35.66,FastJet,Kt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,76.64,FastJet,Kt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,123.27,FastJet,Kt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,158.29,FastJet,Kt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,207.1,FastJet,Kt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,206.73,FastJet,Kt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,290.33,FastJet,Kt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,413.96,FastJet,Kt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,553.32,FastJet,Kt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,763.01,FastJet,Kt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,858.68,FastJet,Kt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1064.8,FastJet,Kt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,19.02,FastJet,Kt,N2Plain,0.2
events-ee-H.hepmc3.gz,64.97,16,35.04,FastJet,Kt,N2Plain,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,363.62,FastJet,Kt,N2Plain,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,930.61,FastJet,Kt,N2Plain,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,1631.79,FastJet,Kt,N2Plain,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,2033.56,FastJet,Kt,N2Plain,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,2034.65,FastJet,Kt,N2Plain,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,4384.16,FastJet,Kt,N2Plain,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,7165.19,FastJet,Kt,N2Plain,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,10969.9,FastJet,Kt,N2Plain,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,17528.1,FastJet,Kt,N2Plain,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,18148.3,FastJet,Kt,N2Plain,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,24648.1,FastJet,Kt,N2Plain,0.2
events-ee-Z.hepmc3.gz,43.05,16,19.14,FastJet,AntiKt,N2Tiled,1.0
events-ee-H.hepmc3.gz,64.97,16,30.93,FastJet,AntiKt,N2Tiled,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,53.49,FastJet,AntiKt,N2Tiled,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,84.27,FastJet,AntiKt,N2Tiled,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,105.61,FastJet,AntiKt,N2Tiled,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,135.48,FastJet,AntiKt,N2Tiled,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,135.45,FastJet,AntiKt,N2Tiled,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,184.17,FastJet,AntiKt,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,254.5,FastJet,AntiKt,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,336.03,FastJet,AntiKt,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,448.32,FastJet,AntiKt,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,498.1,FastJet,AntiKt,N2Tiled,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,600.84,FastJet,AntiKt,N2Tiled,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.41,FastJet,Kt,N2Plain,0.4
events-ee-H.hepmc3.gz,64.97,16,25.89,FastJet,Kt,N2Plain,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,141.3,FastJet,Kt,N2Plain,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,286.16,FastJet,Kt,N2Plain,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,420.02,FastJet,Kt,N2Plain,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,521.38,FastJet,Kt,N2Plain,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,521.43,FastJet,Kt,N2Plain,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,872.14,FastJet,Kt,N2Plain,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1258.12,FastJet,Kt,N2Plain,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1788.58,FastJet,Kt,N2Plain,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,2473.17,FastJet,Kt,N2Plain,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,2519.14,FastJet,Kt,N2Plain,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,3232.27,FastJet,Kt,N2Plain,0.4
events-ee-Z.hepmc3.gz,43.05,16,21.7,FastJet,CA,N2Tiled,2.0
events-ee-H.hepmc3.gz,64.97,16,36.28,FastJet,CA,N2Tiled,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,70.74,FastJet,CA,N2Tiled,2.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,112.84,FastJet,CA,N2Tiled,2.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,143.67,FastJet,CA,N2Tiled,2.0
events-pp-1TeV.hepmc3.gz,226.98,16,187.69,FastJet,CA,N2Tiled,2.0
events-pp-2TeV.hepmc3.gz,226.98,16,187.84,FastJet,CA,N2Tiled,2.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,257.87,FastJet,CA,N2Tiled,2.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,365.7,FastJet,CA,N2Tiled,2.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,486.23,FastJet,CA,N2Tiled,2.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,655.51,FastJet,CA,N2Tiled,2.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,746.77,FastJet,CA,N2Tiled,2.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,902.26,FastJet,CA,N2Tiled,2.0
